DGP,Num Points,Slope,Alpha (-Slope),R^2,SE_Slope,T_Stat,P_Value,Significant,CI_Low,CI_High
Sinusoidal,8,-0.36406560974860674,0.36406560974860674,0.9629673494094869,0.029146784449273162,-12.490764131536489,1.609643583888598e-05,Yes,-0.43538522204030117,-0.2927459974569123
StepFunction,8,-0.06492592428617065,0.06492592428617065,0.9900588260953609,0.0026560170063663338,-24.444845093441273,3.0816884932782784e-07,Yes,-0.07142496377589101,-0.058426884796450286
TruncatedNormal,8,-0.5009227819786557,0.5009227819786557,0.9992979469205902,0.005420416210296847,-92.41408086469117,1.081619238618714e-10,Yes,-0.5141860626417694,-0.48765950131554203
TruncatedGMMSymmetricThree,8,-0.4304315452985092,0.4304315452985092,0.9997637981983141,0.0027009799893158762,-159.36124925069586,4.118483332149481e-12,Yes,-0.4370406052440716,-0.42382248535294675
TruncatedGMMAsymmetricThree,8,-0.4532440574495448,0.4532440574495448,0.9996579726759628,0.0034226396547714405,-132.42529251295426,1.2505108060167913e-11,Yes,-0.46161895498300376,-0.4448691599160859
TruncatedGMMFiveSpikes,8,-0.3167862345191528,0.3167862345191528,0.9223238025667737,0.03753124287418321,-8.440600690499966,0.0001509346042443127,Yes,-0.40862187749619183,-0.2249505915421137
