x,oracle_coverage_percent,valid_fraction_percent,oracle_se
0.8300000000000001,99.9,0.0,0.0037507504739402063
0.835,99.9,0.0,0.0037506869860412452
0.84,99.9,0.0,0.0037506494204998953
0.845,99.9,0.0,0.0037506289136855853
0.85,99.9,0.0,0.003750619369428282
0.855,99.9,0.0,0.003750616655899716
0.86,99.9,0.0,0.00375061801825546
0.865,99.9,0.0,0.0037506216534453365
0.87,99.9,0.0,0.0037506264075271526
0.875,99.9,0.0,0.003750631562642933
0.88,99.9,0.0,0.0037506366892649714
0.885,99.9,0.0,0.003750641545128294
0.89,99.9,0.0,0.0037506460071260878
0.895,99.9,0.0,0.003750650025724772
0.9,99.9,0.0,0.0037506535956308763
0.905,99.9,0.0,0.003750656736486508
0.91,99.9,0.0,0.003750659480978663
0.915,99.9,0.0,0.0037506618674458866
0.92,99.9,0.0,0.0037506639352793032
0.925,99.9,0.0,0.003750665722523859
0.93,99.9,0.0,0.0037506672645544366
0.935,99.9,0.0,0.003750668593390366
0.9400000000000001,99.9,0.0,0.0037506697375884056
0.9450000000000001,99.9,0.0,0.0037506707223301508
0.9500000000000001,99.9,0.0,0.003750671569639667
0.9550000000000001,99.9,0.0,0.003750672298661634
0.96,99.9,0.0,0.0037506729259628347
0.965,99.9,0.0,0.0037506734658580617
0.97,99.9,0.0,0.0037506739306647635
0.975,99.9,0.0,0.0037506743309787143
0.98,99.9,0.0,0.003750674675902715
0.985,99.9,0.0,0.0037506749732424205
0.99,99.9,0.0,0.0037506752297018424
0.995,99.9,0.0,0.003750675451024464
1.0,,0.0,
